test number,cut off,initial gap improvement ratio,cut off gap improvement ratio,warm evaluated nodes ratio,total restart evaluated nodes ratio,warm solve time ratio,total restart solve time ratio,cold objective value,cold initial lower bound,cold initial gap,cold cut off lower bound,cold cut off gap,warm objective value,warm initial lower bound,warm initial gap,warm cut off lower bound,warm cut off gap,cold evaluated nodes,warm evaluated nodes,total restart evaluated nodes,cold solve time,cut off time,cglp time,warm solve time,total restart solve time
0,4,0.0018836911568305748,0.11339045580882212,0.0,-0.023668639053254437,-0.07085795420565918,-0.3731820102206755,-1148.0,-1188.365844028307,0.0351618850420793,-1188.2898072451808,0.03509565091043622,-1148.0,-1188.289807244873,0.035095650910168044,-1183.7213276372001,0.031116139056794553,169,169,173,0.5183610000000001,0.032026999999999806,0.12468600000000007,0.5550909999999998,0.7118039999999997
0,16,0.0017173961678537842,0.06609144209026378,-0.14201183431952663,-0.23668639053254437,-0.16122933631195194,-1.7458199980322588,-1148.0,-1188.365844028307,0.0351618850420793,-1178.3293172690762,0.026419265913829468,-1148.0,-1188.2965198824606,0.03510149815545352,-1176.3248089531498,0.024673178530618328,169,193,209,0.5183610000000001,0.07673599999999992,0.7446540000000001,0.6019359999999998,1.4233259999999999
1,4,0.07475425175582504,0.04046107760719611,0.3333333333333333,0.31555555555555553,0.26246147732604863,-0.08565667155642481,-13623.999999999998,-13672.102345538106,0.003530706513366657,-13668.506490742115,0.0032667711936374424,-13623.999999999998,-13668.506490689704,0.003266771189790515,-13666.705710166174,0.003134594110846725,225,150,154,0.47309799999999846,0.039195999999999565,0.12549800000000033,0.3489279999999999,0.5136219999999998
1,16,0.02735701138362145,0.02712502752050438,0.3244444444444444,0.25333333333333335,0.21970078081073932,-0.8645587172213839,-13623.999999999998,-13672.102345538106,0.003530706513366657,-13659.805003483512,0.002628083050757058,-13624.0,-13670.786409123642,0.003434116935088259,-13658.833791778652,0.0025567962256791018,225,152,168,0.47309799999999846,0.07769399999999926,0.4352670000000005,0.36915799999999965,0.8821189999999994
2,4,0.04578461664665076,0.023623483993807138,0.17507136060894388,0.17126546146527116,0.16729746148192837,0.09809445617845163,-113.0,-136.21005226332773,0.20539869259582058,-134.85981908906638,0.19344972645191486,-113.0,-135.14738891810254,0.19599459219559767,-134.3434140027083,0.18887976993547168,1051,867,871,2.4165280000000013,0.04686600000000052,0.12036499999999961,2.0122489999999997,2.17948
2,16,0.046860225932519484,-0.007168416832905236,0.06279733587059944,0.047573739295908656,0.013310832731919565,-0.41776052253480994,-113.0,-136.21005226332773,0.20539869259582058,-131.7406550173271,0.16584650457811592,-113.0,-135.1224239703626,0.1957736634545363,-131.87499584421298,0.16703536145321218,1051,985,1001,2.4165280000000013,0.08991400000000027,0.9517819999999997,2.384362000000001,3.426058000000001
3,4,0.0396335686254145,0.0,0.0,-0.0975609756097561,0.02567352377236972,-1.0331675928634343,-115.00000000000004,-117.06414991852255,0.01794912972628263,-116.55507246376813,0.01352236925015725,-115.00000000000004,-116.98234029107364,0.01723774166150954,-116.55507246376813,0.01352236925015725,41,41,45,0.1538549999999983,0.03866099999999939,0.12424700000000044,0.1499050000000004,0.31281300000000023
3,16,0.03207831829510919,-2.3529842196806207e-14,0.0,-0.3902439024390244,-0.22004484742128128,-7.079613922199548,-115.00000000000004,-117.06414991852255,0.01794912972628263,-115.61043802423114,0.005308156732444354,-115.00000000000001,-116.99793546042733,0.01737335182980273,-115.61043802423113,0.005308156732444479,41,41,57,0.1538549999999983,0.09314499999999803,0.9622340000000005,0.18770999999999916,1.2430889999999977
4,4,0.010183559082341155,0.0,-0.9421841541755889,-0.9450392576730906,-0.7293815564382471,-0.7870675710549642,-1767.9999999999998,-1962.3167105732157,0.1099076417269321,-1955.1366329819107,0.10584651186759668,-1767.9999999999998,-1960.3378748704072,0.1087883907638051,-1955.1366329819107,0.10584651186759668,1401,2721,2725,3.0069679999999988,0.05307999999999957,0.12038000000000082,5.200195000000001,5.373655000000001
4,16,0.014695353572034999,-0.04010288469461558,-0.6052819414703783,-0.6167023554603854,-0.4921149809376106,-0.6229630644556245,-1767.9999999999998,-1962.3167105732157,0.1099076417269321,-1927.7158991373835,0.09033704702340711,-1768.0,-1959.4611578063877,0.10829251007148628,-1934.1209674243871,0.09395982320383887,1401,2249,2265,3.0069679999999988,0.08152199999999787,0.31193399999999727,4.486742000000003,4.880197999999998
5,4,0.029960859179136184,4.4230982502553306e-15,-0.12435233160621761,-0.14507772020725387,-0.12198857809515705,-0.4174038217279653,-107.00000000000006,-110.84410499813276,0.03592621493581967,-110.1893416127099,0.029806930959905022,-107.00000000000006,-110.7289323096139,0.0348498346692882,-110.18934161270988,0.02980693095990489,193,217,221,0.5314349999999983,0.032735999999999876,0.12425800000000109,0.5962639999999979,0.7532579999999989
5,16,0.043311933721502625,0.021488574506352585,-0.11398963730569948,-0.19689119170984457,-0.039498715741352795,-1.9456923236143797,-107.00000000000006,-110.84410499813276,0.03592621493581967,-109.32406417112298,0.021720225898345102,-107.00000000000006,-110.67760937723514,0.03437018109565499,-109.27412334502426,0.021253489205833705,193,215,231,0.5314349999999983,0.0755119999999998,0.9375059999999991,0.5524260000000041,1.565444000000003
6,4,0.06547339825342792,0.03297420739756653,0.08403361344537816,0.05042016806722689,-0.07501288125367989,-0.47936695445271515,-1318.9999999999998,-1514.732540398569,0.14839464776237243,-1487.41172708725,0.1276813700434043,-1318.9999999999998,-1501.9172658298983,0.13867874589074947,-1481.8584838700926,0.12347117806678765,119,109,113,0.23871900000000323,0.03732100000000216,0.05920599999999965,0.2566260000000007,0.3531530000000025
6,16,0.067645579827289,-0.25422848256691843,0.08403361344537816,-0.05042016806722689,0.0772959002006678,-0.8111210251383268,-1318.9999999999998,-1514.732540398569,0.14839464776237243,-1445.149003065473,0.09563988102007064,-1318.9999999999998,-1501.4920992122395,0.13835640577122044,-1477.2196726921377,0.11995426284468381,119,109,125,0.23871900000000323,0.07538000000000267,0.13670199999999966,0.22026699999999977,0.4323490000000021
7,4,0.008925368314312385,0.010905410722830284,0.08441558441558442,0.07792207792207792,0.04975463613953912,-0.027373835343117284,-1085.0,-1120.954104653707,0.03313742364396955,-1120.5621192241679,0.032776146750385135,-1085.0,-1120.6332010272613,0.03284165993295972,-1120.174299707854,0.032418709408160426,616,564,568,2.145589000000001,0.037852000000000885,0.12763400000000047,2.0388360000000034,2.2043220000000048
7,16,0.005036528811172593,0.0,0.032467532467532464,0.006493506493506494,0.02489199935309019,-0.48353948496193916,-1085.0,-1120.954104653707,0.03313742364396955,-1117.4123796164529,0.02987316093682293,-1085.0,-1120.7730207697387,0.032970526055058666,-1117.4123796164529,0.02987316093682293,616,596,612,2.145589000000001,0.09355500000000205,0.997329999999998,2.0921810000000036,3.1830660000000037
8,4,0.04916510060076443,0.009006937884249652,-0.04081632653061224,-0.12244897959183673,0.004288175143268952,-0.9258365606636293,-26.0,-30.06413452287239,0.1563128662643227,-29.666666666666668,0.14102564102564108,-26.0,-29.86432094020033,0.14862772846924344,-29.633641227757753,0.13975543183683664,49,51,55,0.1637059999999977,0.02757299999999674,0.12469400000000519,0.1630039999999937,0.31527099999999564
8,16,0.08909308245657716,-0.01156236915628853,-0.32653061224489793,-0.6530612244897959,-0.18921114681200152,-3.3590644203633597,-26.0,-30.06413452287239,0.1563128662643227,-28.18619934282585,0.0840845901086866,-25.99999862571419,-29.702046680745983,0.14238647118121148,-28.211475495498668,0.08505680717987844,49,65,81,0.1637059999999977,0.07237499999999386,0.4465489999999974,0.19468100000000277,0.713604999999994
9,4,0.006399083406489472,3.184648605896917e-06,-0.08034744842562432,-0.08251900108577633,-0.04337559097485591,-0.07741381790335608,-2883.0,-3011.8435613909073,0.044690794793932474,-3003.2191042553604,0.04169930775420064,-2883.0,-3011.0190806951778,0.044404814670543795,-3003.2187213997577,0.04169917495655833,1842,1990,1994,5.818986999999993,0.06772799999999535,0.1303399999999968,6.071388999999996,6.2694569999999885
9,16,0.003803315715158016,0.025307461727359124,-0.03528773072747014,-0.043973941368078175,-0.0748742006125827,-0.2701437552618717,-2883.0,-3011.8435613909073,0.044690794793932474,-2984.49067475675,0.03520314767837329,-2883.0,-3011.3535286490724,0.04452082159176981,-2981.92220338966,0.03431224536582029,1842,1907,1923,5.818986999999993,0.1326569999999947,1.003614000000006,6.254679000000003,7.390950000000004
