test number,cut off,initial gap improvement ratio,cut off gap improvement ratio,warm evaluated nodes ratio,total restart evaluated nodes ratio,warm solve time ratio,total restart solve time ratio,cold objective value,cold initial lower bound,cold initial gap,cold cut off lower bound,cold cut off gap,warm objective value,warm initial lower bound,warm initial gap,warm cut off lower bound,warm cut off gap,cold evaluated nodes,warm evaluated nodes,total restart evaluated nodes,cold solve time,cut off time,cglp time,warm solve time,total restart solve time
10,4,0.04582987781215645,2.103635585185447e-09,0.004436434215998891,0.0038818799389990295,0.030354087493256604,0.022175985655326847,-8581.0,-8753.393168650176,0.02009010239484634,-8734.714802680646,0.0179133903601732,-8581.0,-8745.492410795288,0.019169375456856822,-8734.714802357286,0.017913390322489956,7213,7181,7185,21.442384000000004,0.04709499999999878,0.1282629999999969,20.79152,20.966877999999994
10,16,0.024836261430949132,-0.012309806948961811,0.05406904200748648,0.05185082489948704,0.20169786158106362,0.15302267695607047,-8581.0,-8753.393168650176,0.02009010239484634,-8718.238726041953,0.01599332549142906,-8581.0,-8749.111566844671,0.0195911393595934,-8719.92810826545,0.01619020024070046,7213,6823,6839,21.442384000000004,0.09485899999999958,0.9488529999999997,17.11750099999999,18.16121299999999
11,4,0.03573524738983649,0.042251074270000306,0.034782608695652174,0.0,0.43257280591142716,0.17395128337961063,-881.0000000000002,-913.0602094240837,0.036390703092035744,-910.2888888888889,0.03324504981712674,-881.0000000000001,-911.914529908944,0.03509027231435176,-909.0514018691586,0.03184041074819346,115,111,115,0.6003290000000021,0.03054000000000201,0.12471800000000144,0.34064300000000003,0.4959010000000035
11,16,0.029459509512387978,0.04021954918668026,0.0,-0.1391304347826087,0.4628245512044353,-1.3340218446884777,-881.0000000000002,-913.0602094240837,0.036390703092035744,-901.2958801498128,0.02303732139592797,-881.0,-912.1157313795856,0.03531865082813343,-900.4795889998402,0.022110770714915084,115,115,131,0.6003290000000021,0.08514800000000378,0.9935509999999965,0.3224819999999937,1.401180999999994
12,4,0.02370442374763121,1.027343388787536e-14,-0.03535449534309067,-0.03611480707089907,-0.08257221056733226,-0.09189414684607229,-266.0,-272.0416206240275,0.022712859488825086,-271.4796912947324,0.02060034321327966,-266.0,-271.8984074886331,0.02217446424298157,-271.47969129473233,0.02060034321327945,5261,5447,5451,20.253303000000017,0.06083100000000741,0.12796900000000733,21.925663,22.114463000000015
12,16,0.0029069489381247627,1.2417400748005723e-14,0.016346702147880632,0.013305455236647026,0.030064380116171543,-0.025018289609354854,-266.0,-272.0416206240275,0.022712859488825086,-270.607898246403,0.017322925738357184,-266.0,-272.0240579413699,0.02264683436605227,-270.60789824640295,0.01732292573835697,5261,5175,5191,20.253303000000017,0.11349599999999782,1.002110000000016,19.64440000000002,20.760006000000033
13,4,0.052751044736327565,0.0,-0.5785050862450243,-0.5802742149491376,-0.6924065041639471,-0.7209220215806845,-2033.0,-2140.8937364856306,0.05307119354925263,-2126.4397312152623,0.04596150084370995,-2033.0,-2135.2022291655076,0.05027163264412571,-2126.4397312152623,0.04596150084370995,2261,3569,3573,7.069378999999998,0.07120100000000207,0.13038600000001566,11.964263000000017,12.165850000000034
13,16,0.07333995459200661,-0.07978874001402587,-0.6360017691287041,-0.643078283945157,-0.6778707153768426,-0.8092047406144198,-2033.0,-2140.8937364856306,0.05307119354925263,-2112.82528069098,0.03926477161386128,-2033.0,-2132.9808147510125,0.04917895462420685,-2119.194439258579,0.04239765826786976,2261,3699,3715,7.069378999999998,0.1163880000000006,0.8120619999999974,11.861504000000025,12.789954000000023
14,4,0.1053724435485414,0.0,0.0,-0.032,-0.09485038537108532,-0.5909525968466204,-278.0,-340.5636067101584,0.22504894500056982,-320.9571428571428,0.15452209660842733,-278.0,-333.9711265938991,0.20133498774783848,-320.9571428571428,0.15452209660842733,125,125,129,0.3176160000000152,0.03422100000000228,0.1233490000000188,0.3477420000000393,0.5053120000000604
14,16,0.2472230346038275,-0.06034190927555586,-0.112,-0.24,-0.18247191577246533,-2.2787863331821216,-278.0,-340.5636067101584,0.22504894500056982,-302.82352941176475,0.08929327126534084,-278.0,-325.09644200351266,0.16941166188313908,-304.32142857142856,0.09468139773895164,125,139,155,0.3176160000000152,0.07467500000001337,0.591148000000004,0.37557200000000535,1.0413950000000227
15,4,0.026049051293129424,0.0,0.01084010840108401,0.008672086720867209,-0.021423123654773744,-0.04851033901307917,-264.0,-269.81475433209755,0.0220255845912786,-269.1605321844761,0.01954747039574279,-264.0,-269.6632854982438,0.021451839008499222,-269.1605321844761,0.01954747039574279,1845,1825,1829,6.366951999999998,0.046419999999983474,0.1260430000000099,6.503352000000007,6.675815
15,16,0.11208394905990324,0.010332751502829876,0.08021680216802168,0.07154471544715447,0.33875282866903583,0.17278047643518446,-264.0,-269.81475433209755,0.0220255845912786,-268.2955357766383,0.016270968850902665,-264.0,-269.1630137037429,0.01955687008993514,-268.2511510728868,0.016102844973056002,1845,1697,1713,6.366951999999998,0.08891900000000419,0.96781900000002,4.210129000000023,5.2668670000000475
16,4,0.03993747268290107,0.026946133011403736,-0.0024183796856106408,-0.007255139056831923,0.0068055410915638295,-0.07932787825048816,-130.0,-137.829610588048,0.06022777375421548,-137.2529997760475,0.055792305969596064,-130.0,-137.5169157290701,0.05782242868515455,-137.05755947935043,0.05428891907192639,827,829,833,1.9780939999999703,0.04432199999999398,0.12605800000000045,1.9646319999999946,2.135011999999989
16,16,0.05481587001393479,0.05900081841185529,-0.094316807738815,-0.11366384522370013,-0.010057156030022224,-0.5560994573564518,-130.0,-137.829610588048,0.06022777375421548,-135.59322980330575,0.04302484464081344,-130.0,-137.40042367179385,0.05692633593687573,-135.26322466734513,0.04048634359496252,827,905,921,1.9780939999999703,0.10303499999997712,0.9770880000000091,1.9979880000000207,3.078111000000007
17,4,0.12675654268156095,0.02795011664792115,-0.11019283746556474,-0.12121212121212122,-0.16861194608339064,-0.3187793211339439,-1075.0,-1121.1145066434897,0.04289721548231598,-1113.5969981431183,0.03590418431917981,-1075.0,-1115.269191213895,0.03745971275711168,-1112.5182075427585,0.034900658179310276,363,403,407,1.0655709999999772,0.03654099999999971,0.12347299999998995,1.245238999999998,1.4052529999999877
17,16,0.1416838698964977,0.11062716230779693,-0.01652892561983471,-0.06060606060606061,-0.06982359692598814,-0.8748211053041295,-1075.0,-1121.1145066434897,0.04289721548231598,-1108.214611472228,0.030897312997421343,-1075.0,-1114.5808248838723,0.0368193719849975,-1104.5401732578994,0.02747923093758081,363,369,385,1.0655709999999772,0.09379500000000007,0.763986999999986,1.1399729999999977,1.9977549999999837
18,4,0.029121168688718637,0.004919383864751188,-0.05218800648298217,-0.05348460291734198,-0.04080423759056431,-0.06602398953821391,-10379.999999999998,-10526.925793650791,0.01415470073707061,-10521.839285714284,0.013664671070740488,-10379.999999999998,-10522.647142829162,0.013742499309168047,-10521.141523820754,0.013597449308357955,3085,3246,3250,6.747608000000042,0.04788299999998458,0.12228999999999246,7.0229390000000365,7.1931120000000135
18,16,0.01687272043046537,1.3500964841953163e-16,0.00032414910858995135,-0.004862236628849271,-0.036376298089629354,-0.1909795293383963,-10379.999999999998,-10526.925793650791,0.01415470073707061,-10513.371428571427,0.012848885218827422,-10380.0,-10524.446755810499,0.013915872428757116,-10513.371428571429,0.01284888521882742,3085,3084,3100,6.747608000000042,0.09974800000000528,0.9434540000000311,6.9930610000000115,8.036263000000048
19,4,0.1142945428633946,0.001566909634644382,-0.03508771929824561,-0.10526315789473684,0.03151622076812223,-0.8780435144682531,-627.0,-665.0,0.06060606060606061,-660.3958333333335,0.053262892078681796,-627.0,-660.656807371191,0.05367911861433972,-660.3435050803265,0.053179433939914686,57,59,63,0.16210700000010547,0.026818000000048414,0.12062800000001062,0.15699800000004416,0.3044440000001032
19,16,0.15433233749994493,0.005904455179817246,-0.03508771929824561,-0.3157894736842105,0.030337986638632214,-3.0473452719482617,-627.0,-665.0,0.06060606060606061,-644.25,0.02751196172248804,-627.0,-659.1353711750021,0.051252585606063945,-644.1481481481482,0.02734951857758876,57,59,75,0.16210700000010547,0.06603400000005877,0.4328800000000115,0.15718900000007352,0.6561030000001438
20,4,0.03172087829530119,0.0014789920655870056,-0.22933560961729976,-0.22990468060890595,-0.290847428663639,-0.3016070433577836,-198.0,-219.3732433038023,0.10794567325152675,-218.62593145938192,0.10417137100697937,-198.0,-218.69526525418652,0.10452154168781072,-218.59542587040815,0.10401730237579873,7029,8641,8645,17.01733799999994,0.057130999999969845,0.12596900000005462,21.966786999999954,22.14988699999998
20,16,0.034862027955889885,-0.004829340079877721,-0.010812348840517854,-0.013088632806942667,-0.11007779242558614,-0.16366625614417596,-198.0,-219.3732433038023,0.10794567325152675,-217.8489665005021,0.10024730555809135,-198.0,-218.6281286982371,0.10418246817291467,-217.9448239099671,0.10073143388872279,7029,7105,7121,17.01733799999994,0.10761099999996304,0.8043220000000133,18.89056899999997,19.802501999999947
21,4,0.11584920865186667,0.1127119231636939,0.0,-0.0975609756097561,-0.011412484918017586,-1.3958264444331667,-1900.9999999999998,-1994.7371527777775,0.049309391256064046,-1980.6277777777775,0.04188731077210823,-1900.9999999999998,-1983.8777778071928,0.04359693729994375,-1971.652777807193,0.0371661114188286,41,41,45,0.11189500000006092,0.03194100000001754,0.1229680000000144,0.11317199999996319,0.26808099999999513
21,16,0.13349839592625112,0.09133489461358184,0.0975609756097561,-0.2926829268292683,0.11458063362995537,-9.011868269355096,-1900.9999999999998,-1994.7371527777775,0.049309391256064046,-1948.4444444444441,0.024957624642001235,-1901.0,-1982.2233932432505,0.04272666661927958,-1944.111111111111,0.02267812262551872,41,37,53,0.11189500000006092,0.07433900000006588,0.9468650000000025,0.09907400000003008,1.1202780000000985
22,4,0.12230527477469173,0.06349623418863296,-0.05706957358127605,-0.05835203590894517,-0.07358967472691014,-0.09341525093328922,-236.0,-251.76619201260843,0.0668058983585103,-249.68012323763156,0.057966623888269335,-236.0,-249.8379035663558,0.058635184603202564,-248.81148692880555,0.05428596156273538,3119,3297,3301,9.826296999999954,0.06929400000001351,0.12551799999999957,10.549410999999964,10.744222999999977
22,16,0.07838513763813845,0.010229318429713872,0.07245912151330555,0.06732927220262905,0.09351223558579101,0.020439337422832264,-236.0,-251.76619201260843,0.0668058983585103,-245.29866590721318,0.03940112672547957,-236.0,-250.5303568816708,0.06156930882063898,-245.20354689267677,0.03899808005371513,3119,2893,2909,9.826296999999954,0.10956099999998514,0.6084749999999985,8.907418000000007,9.62545399999999
23,4,0.07434342183001323,0.02353470520112979,-0.2349869451697128,-0.2454308093994778,-0.24429793032100228,-0.4851624371743609,-142.0,-161.50407936507935,0.13735267158506584,-160.05407936507936,0.1271414039794321,-142.0,-160.0540793654352,0.12714140398193802,-159.62918192954442,0.12414916851791842,383,473,477,0.6649339999999597,0.038007999999990716,0.12215100000003076,0.8273760000000152,0.9875350000000367
23,16,0.03604060297919199,0.0759623078861936,-0.2297650130548303,-0.27154046997389036,-0.40999708241724986,-1.6744970177492222,-142.0,-161.50407936507935,0.13735267158506584,-157.82063492063492,0.11141292197630223,-142.0,-160.80114058420787,0.13240239848033714,-156.61886297983858,0.1029497392946379,383,471,487,0.6649339999999597,0.0832189999999855,0.7575899999999933,0.9375549999999748,1.7783639999999536
24,4,0.04813120951201634,0.03584205459892703,0.30560420315236425,0.3021015761821366,0.3277670194439463,0.27387616213562604,-192.0,-210.69182256235828,0.09735324251228272,-209.88740079365078,0.0931635458002645,-192.0,-209.79216253444798,0.0926675132002499,-209.24627959777186,0.08982437290506178,1142,793,797,3.0772010000000023,0.04152499999997872,0.12430800000004183,2.0685960000000705,2.234429000000091
24,16,0.04813139380004453,0.05893974316760066,0.22066549912434325,0.20665499124343256,0.4229431226624345,0.14969707861135323,-192.0,-210.69182256235828,0.09735324251228272,-207.81770833333334,0.08238389756944449,-192.0,-209.79215908976886,0.0926674952592128,-206.88541666666666,0.07752821180555551,1142,890,906,3.0772010000000023,0.08244300000001203,0.7583900000000199,1.7757200000000353,2.616553000000067
25,4,0.030415575008293522,0.0,-0.4437299035369775,-0.4565916398713826,-0.42089053187119496,-0.6552011420866302,-582.0,-695.1239700084539,0.19437108248875232,-684.8533083645443,0.1767238975335813,-582.0,-691.6832394134258,0.18845917424987246,-684.8533083645443,0.1767238975335813,311,449,453,0.716583000000071,0.04592200000001867,0.12198100000000522,1.0181859999999574,1.1860889999999813
25,16,0.05755163764473731,-0.10602248570433098,-0.3279742765273312,-0.37942122186495175,-0.2918182541309619,-1.2384748172925113,-582.0,-695.1239700084539,0.19437108248875232,-653.1467729393469,0.1222453143287747,-582.0,-688.6135002775932,0.1831847083807443,-660.689930656218,0.13520606641961866,311,413,429,0.716583000000071,0.08551000000005615,0.5928480000000036,0.9256950000000188,1.6040530000000786
26,4,0.08603491354211981,0.02658271052458603,-0.06289308176100629,-0.0880503144654088,0.010263510929309966,-0.4254077119100663,-61.0,-82.21351744017163,0.34776258098642016,-79.93589953971116,0.3104245826182157,-61.0,-80.38841430128221,0.31784285739806906,-79.43253200372438,0.30217265579876024,159,169,173,0.3712180000001126,0.03820000000001755,0.1235290000000191,0.3674079999999549,0.5291369999999915
26,16,0.10581432023353182,0.10909825597453214,-0.10062893081761007,-0.20125786163522014,-0.25089839393528446,-1.3198821177847995,-61.0,-82.21351744017163,0.34776258098642016,-74.6606944443079,0.22394581056242446,-61.0,-79.9688235124777,0.31096431987668355,-73.17033650503292,0.199513713197261,159,175,191,0.3712180000001126,0.07129900000006728,0.3255270000000223,0.4643560000000093,0.8611820000000989
27,4,0.029814302021291792,0.0,0.0,-0.013468013468013467,0.06703317912520693,-0.1348524105017107,-126.0,-136.06637126736487,0.07989183545527676,-134.86239525861552,0.07033647030647239,-126.0,-135.7662494341412,0.07750991614397779,-134.86239525861552,0.07033647030647239,297,297,301,0.8549050000000307,0.04491500000000315,0.12767800000000307,0.7975979999999936,0.9701909999999998
27,16,0.04738861112194496,0.036691405536524134,-0.006734006734006734,-0.06060606060606061,0.04830244296148931,-1.1639375135248922,-126.0,-136.06637126736487,0.07989183545527676,-132.45278614292408,0.05121258843590542,-126.0,-135.5893399139666,0.07610587233306823,-132.2160243497136,0.04933352658502851,297,299,315,0.8549050000000307,0.08793600000001334,0.9484140000000139,0.8136110000000372,1.8499610000000644
28,4,0.035538416826125956,1.219190810457753e-06,-0.0626249167221852,-0.06528980679546968,-0.0723585844313204,-0.10697808465163143,-2315.0,-2365.8644456522347,0.021971682787142434,-2361.8831503029264,0.02025190077880191,-2315.0,-2364.056803781016,0.02119084396588155,-2361.8830931434204,0.020251876087870588,1501,1595,1599,5.353919000000019,0.05657100000001947,0.12877900000000864,5.741320999999971,5.926670999999999
28,16,0.013140107015603485,0.04336304304708951,0.0866089273817455,0.0759493670886076,0.12558931130635187,-0.0796362440298459,-2315.0,-2365.8644456522347,0.021971682787142434,-2356.6878554701925,0.01800771294608748,-2315.0,-2365.196081393075,0.02168297252400649,-2354.8801431988977,0.01722684371442666,1501,1371,1387,5.353919000000019,0.11026600000002418,0.9884950000000003,4.681524000000024,5.780285000000049
29,4,0.023973753548525416,0.004370328467122571,-0.5154639175257731,-0.5567010309278351,-0.42877589572810243,-1.2337548213283611,-95.0,-113.18655555555557,0.19143742690058496,-112.75055555555556,0.18684795321637437,-95.0,-112.75055555477012,0.1868479532081065,-112.67297979730388,0.18603136628740927,97,147,151,0.19004099999995105,0.03290599999996857,0.12007299999999077,0.2715259999999944,0.4245049999999537
29,16,0.01934280852897823,0.04597772405099902,-0.020618556701030927,-0.18556701030927836,-0.012297346362462854,-2.70534779337206,-95.0,-113.18655555555557,0.19143742690058496,-111.803125,0.17687499999999995,-95.0,-112.83477649364283,0.18773448940676668,-111.03055555555555,0.1687426900584795,97,99,115,0.19004099999995105,0.07473099999998567,0.4370590000000334,0.19237800000001926,0.7041680000000383
30,4,0.05142081903098175,0.03590678326456863,0.2962962962962963,0.2828282828282828,0.13206777810504905,-0.15309323733491575,-63.0,-73.91982142857142,0.17333049886621307,-73.18072535599087,0.16159881517445832,-63.0,-73.35831526704222,0.16441770265146374,-72.81516825715721,0.15579632154217796,297,209,213,0.6008429999999976,0.04955599999999549,0.12178099999999858,0.5214910000000259,0.69282800000002
30,16,0.07774579786048842,-0.31745970190363804,-0.06734006734006734,-0.12121212121212122,-0.3255442769575602,-1.7285164344096622,-63.0,-73.91982142857142,0.17333049886621307,-69.68379082348227,0.10609191783305189,-63.0,-73.07085119911308,0.15985478093830285,-71.80562506589122,0.1397718264427178,297,317,333,0.6008429999999976,0.0856539999999768,0.7573120000000131,0.7964440000000081,1.639409999999998
31,4,0.06611822151937899,0.0032020544232201917,-0.002962085308056872,-0.0035545023696682463,0.06133583824648071,0.05326820198371455,-375.0,-395.0400191323439,0.05344005101958373,-392.7556387247997,0.04734836993279926,-375.0,-393.715008708099,0.04990668988826398,-392.6987842032839,0.04719675787542368,6752,6772,6776,24.391530999999986,0.06470699999999852,0.13207499999998618,22.895455999999967,23.092237999999952
31,16,0.06670041363179915,-0.0002746145872808698,0.15847156398104265,0.15610189573459715,0.2331919632269083,0.19476760191887876,-375.0,-395.0400191323439,0.05344005101958373,-388.92532247941267,0.037134193278433786,-375.0,-393.7033415670274,0.04987557751207305,-388.9291465760981,0.03714439086959495,6752,5682,5698,24.391530999999986,0.12335799999999608,0.813871000000006,18.703621999999996,19.640850999999998
32,4,0.021989505575743105,2.2353373916160165e-10,0.03329369797859691,0.028537455410225922,-0.004238503574905136,-0.07088307810238297,-2405.0,-2458.6541402411785,0.022309413821695857,-2454.353494189179,0.020521203405064012,-2405.0,-2457.4743122251834,0.021818840842072116,-2454.353494178147,0.02052120340047683,841,813,817,2.447326000000089,0.03959100000002991,0.12351000000001022,2.457699000000048,2.620800000000088
32,16,0.029614055672983638,-0.12327465655455755,-0.04994054696789536,-0.06896551724137931,-0.0376925673162989,-0.46312832863294245,-2405.0,-2458.6541402411785,0.022309413821695857,-2439.5009402914907,0.014345505318707144,-2405.0,-2457.06522354499,0.021648741598748526,-2443.7540318567335,0.016113942559972345,841,883,899,2.447326000000089,0.0876240000000621,0.9535559999999919,2.539572000000021,3.580752000000075
33,4,0.015950216055676442,3.228145100661031e-09,-0.04363312555654497,-0.04541406945681211,-0.05146774523146249,-0.07219583037058613,-2546.0,-2615.4041577464563,0.027260077669464394,-2606.034377202259,0.02357988106922971,-2546.0,-2614.297146435238,0.026825273540941916,-2606.034377008459,0.02357988099311043,2246,2344,2348,8.162451999999973,0.04593399999998837,0.12325800000002118,8.582555000000013,8.751747000000023
33,16,0.010413108925737935,-0.02359607998234394,-0.05075690115761353,-0.0578806767586821,-0.028081757785536218,-0.15779572118770377,-2546.0,-2615.4041577464563,0.027260077669464394,-2592.4624655492653,0.018249200922727922,-2546.0,-2614.6814446919434,0.026976215511368185,-2593.5587976025427,0.018679810527314475,2246,2360,2376,8.162451999999973,0.10075699999998733,0.9580269999999587,8.391668000000038,9.450451999999984
34,4,0.0005950259010622758,4.347340108014767e-15,-0.11185682326621924,-0.12080536912751678,-0.19005282323039518,-0.3383841758688135,-82.0,-85.46435950413222,0.04224828663575876,-85.40293637846656,0.04149922412764102,-82.00000000000001,-85.46229812049668,0.04222314781093498,-85.40293637846656,0.04149922412764084,447,497,501,1.1822449999999662,0.036471000000005915,0.13889299999999594,1.4069339999999784,1.5822979999999802
